# day  luminosity  r_eff  v_eff  T_color
4.856853 6.325396e+41 1.665487e+15 0.000000e+00 8.627106e+03
4.891024 6.323360e+41 1.675247e+15 0.000000e+00 8.597298e+03
4.925195 6.322464e+41 1.684996e+15 0.000000e+00 8.567800e+03
4.959366 6.322198e+41 1.694739e+15 0.000000e+00 8.538595e+03
4.993537 6.322208e+41 1.704470e+15 0.000000e+00 8.509690e+03
5.000000 6.322218e+41 1.706310e+15 0.000000e+00 8.504257e+03
5.034171 6.322312e+41 1.716028e+15 0.000000e+00 8.475701e+03
5.068342 6.322379e+41 1.725742e+15 0.000000e+00 8.447421e+03
5.102513 6.322407e+41 1.735443e+15 0.000000e+00 8.419427e+03
5.136684 6.322411e+41 1.745133e+15 0.000000e+00 8.391712e+03
5.170855 6.322406e+41 1.754820e+15 0.000000e+00 8.364260e+03
5.205026 6.322402e+41 1.764494e+15 0.000000e+00 8.337080e+03
5.239197 6.322403e+41 1.774157e+15 0.000000e+00 8.310166e+03
5.273368 6.322408e+41 1.783816e+15 0.000000e+00 8.283501e+03
5.307539 6.322416e+41 1.793463e+15 0.000000e+00 8.257096e+03
5.341710 6.322423e+41 1.803100e+15 0.000000e+00 8.230945e+03
5.375881 6.322430e+41 1.812734e+15 0.000000e+00 8.205030e+03
5.410052 6.322436e+41 1.822355e+15 0.000000e+00 8.179365e+03
5.444222 6.322441e+41 1.831967e+15 0.000000e+00 8.153940e+03
5.478393 6.322447e+41 1.841574e+15 0.000000e+00 8.128742e+03
5.512564 6.322452e+41 1.851170e+15 0.000000e+00 8.103782e+03
5.546735 6.322458e+41 1.860755e+15 0.000000e+00 8.079052e+03
5.580906 6.322463e+41 1.870338e+15 0.000000e+00 8.054537e+03
5.615077 6.322469e+41 1.879908e+15 0.000000e+00 8.030250e+03
5.649248 6.322475e+41 1.889469e+15 0.000000e+00 8.006183e+03
5.683419 6.322481e+41 1.899028e+15 0.000000e+00 7.982321e+03
5.717590 6.322487e+41 1.908574e+15 0.000000e+00 7.958678e+03
5.751761 6.322492e+41 1.918111e+15 0.000000e+00 7.935245e+03
5.785932 6.322498e+41 1.927641e+15 0.000000e+00 7.912013e+03
5.820103 6.322504e+41 1.937161e+15 0.000000e+00 7.888989e+03
5.854274 6.322510e+41 1.946680e+15 0.000000e+00 7.866153e+03
5.888445 6.322516e+41 1.956187e+15 0.000000e+00 7.843521e+03
5.922616 6.322522e+41 1.965685e+15 0.000000e+00 7.821083e+03
5.956787 6.322527e+41 1.975180e+15 0.000000e+00 7.798830e+03
5.990958 6.322533e+41 1.984664e+15 0.000000e+00 7.776770e+03
6.000000 6.322535e+41 1.987172e+15 0.000000e+00 7.770964e+03
6.034171 6.322541e+41 1.996645e+15 0.000000e+00 7.749141e+03
6.068342 6.322547e+41 2.006116e+15 0.000000e+00 7.727491e+03
6.102513 6.322552e+41 2.015575e+15 0.000000e+00 7.706028e+03
6.136684 6.322558e+41 2.025029e+15 0.000000e+00 7.684739e+03
6.170855 6.322564e+41 2.034475e+15 0.000000e+00 7.663626e+03
6.205026 6.322570e+41 2.043912e+15 0.000000e+00 7.642687e+03
6.239197 6.322576e+41 2.053344e+15 0.000000e+00 7.621915e+03
6.273368 6.322582e+41 2.062768e+15 0.000000e+00 7.601313e+03
6.307539 6.322588e+41 2.072183e+15 0.000000e+00 7.580879e+03
6.341710 6.322594e+41 2.081594e+15 0.000000e+00 7.560603e+03
6.375881 6.322600e+41 2.090997e+15 0.000000e+00 7.540491e+03
6.410052 6.322606e+41 2.100391e+15 0.000000e+00 7.520540e+03
6.444222 6.322612e+41 2.109780e+15 0.000000e+00 7.500742e+03
6.478393 6.322618e+41 2.119161e+15 0.000000e+00 7.481101e+03
6.512564 6.322624e+41 2.128534e+15 0.000000e+00 7.461615e+03
6.546735 6.322630e+41 2.137902e+15 0.000000e+00 7.442277e+03
6.580906 6.322636e+41 2.147263e+15 0.000000e+00 7.423089e+03
6.615077 6.322642e+41 2.156616e+15 0.000000e+00 7.404050e+03
6.649248 6.322648e+41 2.165965e+15 0.000000e+00 7.385152e+03
6.683419 6.322654e+41 2.175305e+15 0.000000e+00 7.366399e+03
6.717590 6.322661e+41 2.184638e+15 0.000000e+00 7.347790e+03
6.751761 6.322667e+41 2.193967e+15 0.000000e+00 7.329317e+03
6.785932 6.322673e+41 2.203288e+15 0.000000e+00 7.310984e+03
6.820103 6.322679e+41 2.212601e+15 0.000000e+00 7.292789e+03
6.854274 6.322685e+41 2.221910e+15 0.000000e+00 7.274725e+03
6.888445 6.322691e+41 2.231212e+15 0.000000e+00 7.256797e+03
6.922616 6.322697e+41 2.240506e+15 0.000000e+00 7.239001e+03
6.956787 6.322704e+41 2.249796e+15 0.000000e+00 7.221331e+03
6.990958 6.322710e+41 2.259078e+15 0.000000e+00 7.203792e+03
7.000000 6.322711e+41 2.261533e+15 0.000000e+00 7.199173e+03
7.034171 6.322718e+41 2.270806e+15 0.000000e+00 7.181795e+03
7.068342 6.322724e+41 2.280076e+15 0.000000e+00 7.164537e+03
7.102513 6.322730e+41 2.289337e+15 0.000000e+00 7.147407e+03
7.136684 6.322736e+41 2.298591e+15 0.000000e+00 7.130399e+03
7.170855 6.322743e+41 2.307844e+15 0.000000e+00 7.113507e+03
7.205026 6.322749e+41 2.317087e+15 0.000000e+00 7.096737e+03
7.239197 6.322755e+41 2.326323e+15 0.000000e+00 7.080086e+03
7.273368 6.322761e+41 2.335555e+15 0.000000e+00 7.063547e+03
7.307539 6.322768e+41 2.344779e+15 0.000000e+00 7.047127e+03
7.341710 6.322774e+41 2.354000e+15 0.000000e+00 7.030817e+03
7.375881 6.322780e+41 2.363214e+15 0.000000e+00 7.014622e+03
7.410052 6.322787e+41 2.372421e+15 0.000000e+00 6.998538e+03
7.444222 6.322793e+41 2.381623e+15 0.000000e+00 6.982561e+03
7.478393 6.322799e+41 2.390819e+15 0.000000e+00 6.966695e+03
7.512564 6.322806e+41 2.400007e+15 0.000000e+00 6.950936e+03
7.546735 6.322812e+41 2.409193e+15 0.000000e+00 6.935281e+03
7.580906 6.322819e+41 2.418372e+15 0.000000e+00 6.919732e+03
7.615077 6.322825e+41 2.427544e+15 0.000000e+00 6.904288e+03
7.649248 6.322831e+41 2.436712e+15 0.000000e+00 6.888944e+03
7.683419 6.322838e+41 2.445873e+15 0.000000e+00 6.873703e+03
7.717590 6.322844e+41 2.455028e+15 0.000000e+00 6.858564e+03
7.751761 6.322851e+41 2.464180e+15 0.000000e+00 6.843521e+03
7.785932 6.322857e+41 2.473324e+15 0.000000e+00 6.828577e+03
7.820103 6.322864e+41 2.482463e+15 0.000000e+00 6.813732e+03
7.854274 6.322870e+41 2.491598e+15 0.000000e+00 6.798979e+03
7.888445 6.322877e+41 2.500725e+15 0.000000e+00 6.784324e+03
7.922616 6.322883e+41 2.509847e+15 0.000000e+00 6.769763e+03
7.956787 6.322890e+41 2.518966e+15 0.000000e+00 6.755293e+03
7.990958 6.322896e+41 2.528078e+15 0.000000e+00 6.740917e+03
8.000000 6.322898e+41 2.530488e+15 0.000000e+00 6.737128e+03
8.034171 6.322905e+41 2.539592e+15 0.000000e+00 6.722868e+03
8.068342 6.322911e+41 2.548694e+15 0.000000e+00 6.708693e+03
8.102513 6.322918e+41 2.557788e+15 0.000000e+00 6.694611e+03
8.136684 6.322924e+41 2.566876e+15 0.000000e+00 6.680616e+03
