# day  luminosity  r_eff  v_eff  T_color
1.084451 4.356731e+40 4.465027e+14 0.000000e+00 1.841312e+04
1.119047 4.355313e+40 4.584100e+14 0.000000e+00 1.812971e+04
1.153642 4.354689e+40 4.702578e+14 0.000000e+00 1.785909e+04
1.188237 4.354503e+40 4.820675e+14 0.000000e+00 1.760004e+04
1.222832 4.354511e+40 4.938201e+14 0.000000e+00 1.735206e+04
1.257428 4.354571e+40 5.055195e+14 0.000000e+00 1.711434e+04
1.292023 4.354621e+40 5.171418e+14 0.000000e+00 1.688636e+04
1.326618 4.354646e+40 5.287182e+14 0.000000e+00 1.666729e+04
1.361213 4.354652e+40 5.403253e+14 0.000000e+00 1.645587e+04
1.395809 4.354650e+40 5.518504e+14 0.000000e+00 1.625266e+04
1.430404 4.354647e+40 5.633301e+14 0.000000e+00 1.605684e+04
1.464999 4.354647e+40 5.747413e+14 0.000000e+00 1.586808e+04
1.499595 4.354650e+40 5.861621e+14 0.000000e+00 1.568549e+04
1.534190 4.354655e+40 5.975339e+14 0.000000e+00 1.550916e+04
1.568785 4.354660e+40 6.088653e+14 0.000000e+00 1.533867e+04
1.603380 4.354665e+40 6.201567e+14 0.000000e+00 1.517367e+04
1.637976 4.354669e+40 6.314100e+14 0.000000e+00 1.501393e+04
1.672571 4.354673e+40 6.426479e+14 0.000000e+00 1.485899e+04
1.707166 4.354677e+40 6.538479e+14 0.000000e+00 1.470879e+04
1.741762 4.354681e+40 6.650124e+14 0.000000e+00 1.456307e+04
1.776357 4.354685e+40 6.761538e+14 0.000000e+00 1.442153e+04
1.810952 4.354689e+40 6.872596e+14 0.000000e+00 1.428407e+04
1.845547 4.354693e+40 6.983325e+14 0.000000e+00 1.415048e+04
1.880143 4.354697e+40 7.093855e+14 0.000000e+00 1.402050e+04
1.914738 4.354701e+40 7.204041e+14 0.000000e+00 1.389407e+04
1.949333 4.354705e+40 7.313920e+14 0.000000e+00 1.377102e+04
1.983928 4.354709e+40 7.423617e+14 0.000000e+00 1.365110e+04
2.000000 4.354711e+40 7.474461e+14 0.000000e+00 1.359647e+04
2.034595 4.354715e+40 7.583693e+14 0.000000e+00 1.348106e+04
2.069191 4.354719e+40 7.692407e+14 0.000000e+00 1.336865e+04
2.103786 4.354724e+40 7.801272e+14 0.000000e+00 1.325881e+04
2.138381 4.354728e+40 7.909760e+14 0.000000e+00 1.315169e+04
2.172976 4.354732e+40 8.017979e+14 0.000000e+00 1.304714e+04
2.207572 4.354736e+40 8.126036e+14 0.000000e+00 1.294499e+04
2.242167 4.354740e+40 8.233804e+14 0.000000e+00 1.284523e+04
2.276762 4.354744e+40 8.341319e+14 0.000000e+00 1.274774e+04
2.311357 4.354748e+40 8.448423e+14 0.000000e+00 1.265249e+04
2.345953 4.354753e+40 8.555555e+14 0.000000e+00 1.255925e+04
2.380548 4.354757e+40 8.662435e+14 0.000000e+00 1.246805e+04
2.415143 4.354761e+40 8.769079e+14 0.000000e+00 1.237882e+04
2.449739 4.354765e+40 8.875562e+14 0.000000e+00 1.229144e+04
2.484334 4.354769e+40 8.981807e+14 0.000000e+00 1.220590e+04
2.518929 4.354773e+40 9.087828e+14 0.000000e+00 1.212212e+04
2.553524 4.354778e+40 9.193632e+14 0.000000e+00 1.204004e+04
2.588120 4.354782e+40 9.299217e+14 0.000000e+00 1.195961e+04
2.622715 4.354786e+40 9.404590e+14 0.000000e+00 1.188077e+04
2.657310 4.354790e+40 9.509945e+14 0.000000e+00 1.180341e+04
2.691906 4.354795e+40 9.615002e+14 0.000000e+00 1.172757e+04
2.726501 4.354799e+40 9.719910e+14 0.000000e+00 1.165316e+04
2.761096 4.354803e+40 9.824616e+14 0.000000e+00 1.158014e+04
2.795691 4.354807e+40 9.929126e+14 0.000000e+00 1.150849e+04
2.830287 4.354812e+40 1.003350e+15 0.000000e+00 1.143813e+04
2.864882 4.354816e+40 1.013767e+15 0.000000e+00 1.136905e+04
2.899477 4.354820e+40 1.024166e+15 0.000000e+00 1.130120e+04
2.934072 4.354825e+40 1.034524e+15 0.000000e+00 1.123462e+04
2.968668 4.354829e+40 1.044909e+15 0.000000e+00 1.116907e+04
3.000000 4.354833e+40 1.054282e+15 0.000000e+00 1.111073e+04
3.034595 4.354837e+40 1.064615e+15 0.000000e+00 1.104737e+04
3.069191 4.354841e+40 1.074938e+15 0.000000e+00 1.098505e+04
3.103786 4.354846e+40 1.085241e+15 0.000000e+00 1.092379e+04
3.138381 4.354850e+40 1.095526e+15 0.000000e+00 1.086355e+04
3.172976 4.354855e+40 1.105802e+15 0.000000e+00 1.080426e+04
3.207572 4.354859e+40 1.116058e+15 0.000000e+00 1.074595e+04
3.242167 4.354863e+40 1.126291e+15 0.000000e+00 1.068858e+04
3.276762 4.354868e+40 1.136508e+15 0.000000e+00 1.063212e+04
3.311357 4.354872e+40 1.146726e+15 0.000000e+00 1.057651e+04
3.345953 4.354876e+40 1.156924e+15 0.000000e+00 1.052177e+04
3.380548 4.354881e+40 1.167106e+15 0.000000e+00 1.046788e+04
3.415143 4.354885e+40 1.177278e+15 0.000000e+00 1.041478e+04
3.449739 4.354890e+40 1.187433e+15 0.000000e+00 1.036249e+04
3.484334 4.354894e+40 1.197573e+15 0.000000e+00 1.031099e+04
3.518929 4.354899e+40 1.207704e+15 0.000000e+00 1.026022e+04
3.553524 4.354903e+40 1.217818e+15 0.000000e+00 1.021021e+04
3.588120 4.354908e+40 1.227918e+15 0.000000e+00 1.016092e+04
3.622715 4.354912e+40 1.238008e+15 0.000000e+00 1.011232e+04
3.657310 4.354916e+40 1.248083e+15 0.000000e+00 1.006442e+04
3.691906 4.354921e+40 1.258143e+15 0.000000e+00 1.001720e+04
3.726501 4.354925e+40 1.268195e+15 0.000000e+00 9.970612e+03
3.761096 4.354930e+40 1.278231e+15 0.000000e+00 9.924680e+03
3.795691 4.354934e+40 1.288257e+15 0.000000e+00 9.879367e+03
3.830287 4.354939e+40 1.298269e+15 0.000000e+00 9.834670e+03
3.864882 4.354944e+40 1.308269e+15 0.000000e+00 9.790574e+03
3.899477 4.354948e+40 1.318258e+15 0.000000e+00 9.747057e+03
3.934072 4.354953e+40 1.328234e+15 0.000000e+00 9.704116e+03
3.968668 4.354957e+40 1.338197e+15 0.000000e+00 9.661738e+03
4.000000 4.354961e+40 1.347213e+15 0.000000e+00 9.623823e+03
4.034595 4.354966e+40 1.357155e+15 0.000000e+00 9.582476e+03
4.069191 4.354970e+40 1.367084e+15 0.000000e+00 9.541658e+03
4.103786 4.354975e+40 1.376993e+15 0.000000e+00 9.501365e+03
4.138381 4.354980e+40 1.386892e+15 0.000000e+00 9.461578e+03
4.172976 4.354984e+40 1.396798e+15 0.000000e+00 9.422252e+03
4.207572 4.354989e+40 1.406683e+15 0.000000e+00 9.383428e+03
4.242167 4.354994e+40 1.416559e+15 0.000000e+00 9.345074e+03
4.276762 4.354998e+40 1.426423e+15 0.000000e+00 9.307185e+03
4.311357 4.355003e+40 1.436276e+15 0.000000e+00 9.269754e+03
4.345953 4.355007e+40 1.446120e+15 0.000000e+00 9.232764e+03
4.380548 4.355012e+40 1.455952e+15 0.000000e+00 9.196214e+03
4.415143 4.355017e+40 1.465773e+15 0.000000e+00 9.160095e+03
4.449739 4.355021e+40 1.475586e+15 0.000000e+00 9.124390e+03
4.484334 4.355026e+40 1.485387e+15 0.000000e+00 9.089100e+03
4.518929 4.355031e+40 1.495177e+15 0.000000e+00 9.054217e+03
4.553524 4.355036e+40 1.504959e+15 0.000000e+00 9.019725e+03
4.588120 4.355040e+40 1.514730e+15 0.000000e+00 8.985626e+03
4.622715 4.355045e+40 1.524490e+15 0.000000e+00 8.951910e+03
4.657310 4.355050e+40 1.534242e+15 0.000000e+00 8.918564e+03
4.691906 4.355055e+40 1.543984e+15 0.000000e+00 8.885590e+03
4.726501 4.355059e+40 1.553715e+15 0.000000e+00 8.852978e+03
4.761096 4.355064e+40 1.563440e+15 0.000000e+00 8.820715e+03
4.795691 4.355069e+40 1.573153e+15 0.000000e+00 8.788804e+03
4.830287 4.355074e+40 1.582856e+15 0.000000e+00 8.757237e+03
4.864882 4.355078e+40 1.592552e+15 0.000000e+00 8.726000e+03
4.899477 4.355083e+40 1.602236e+15 0.000000e+00 8.695098e+03
4.934072 4.355088e+40 1.611911e+15 0.000000e+00 8.664521e+03
4.968668 4.355093e+40 1.621581e+15 0.000000e+00 8.634257e+03
5.000000 4.355097e+40 1.630328e+15 0.000000e+00 8.607122e+03
5.034595 4.355102e+40 1.639978e+15 0.000000e+00 8.577455e+03
5.069191 4.355107e+40 1.649621e+15 0.000000e+00 8.548086e+03
